GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), Absolute Throttle Position B(%),Acceleration Sensor(Total)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Air Fuel Ratio(Measured)(:1),Barometer (on Android device)(mb),CO₂ in g/km (Instantaneous)(g/km),Engine Coolant Temperature(°F),Engine Oil Temperature(°F),Engine RPM(rpm),Fuel pressure(psi),GPS Latitude(°),GPS Longitude(°),Kilometers Per Litre(Instant)(kpl),Mass Air Flow Rate(g/s),NOx Post SCR(ppm),Speed (OBD)(mph)
-,08-May-2017 09:05:16.586,-,-,-,-,-,-,-0.0796072,3.18368959,8.35935497,-0.00238524,-,-0.0787214,0.0038439,0.31745747,0.76451176,-,1005.38720703,-,-,-,-,-,-,-,-,-,-,0
-,08-May-2017 09:05:17.585,-,-,-,-,-,-,0.04668693,2.99694204,8.54909611,-0.01091,-,-0.10094975,-0.00671157,0.31568804,0.7414484,-,1005.27856445,-,143.6000061,-,-,-,-,-,-,-,-,0
-,08-May-2017 09:05:18.586,-,-,-,-,-,-,-0.02035072,3.19386506,8.36294651,-0.00096602,-,-0.09331595,-0.0012813,0.31812862,0.74870908,-,1005.35205078,-,143.6000061,-,-,-,-,-,-,4.07000017,-,0
-,08-May-2017 09:05:19.586,-,-,-,-,-,-,0.36930561,2.46183801,8.68317127,-0.00159788,-,-0.04541812,0.04789623,0.24619274,0.82070595,-,1005.33422852,-,143.6000061,-,946,-,-,-,-,4.07000017,-,0
-,08-May-2017 09:05:20.586,-,-,-,-,-,-,0.39085343,2.78924489,8.51497841,-0.00284147,-,-0.07047319,0.02117197,0.29939723,0.77939928,-,1005.25,-,143.6000061,-,946,-,-,-,-,4.07000017,-,0
GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), Absolute Throttle Position B(%),Acceleration Sensor(Total)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Air Fuel Ratio(Measured)(:1),Barometer (on Android device)(mb),CO₂ in g/km (Instantaneous)(g/km),Engine Coolant Temperature(°F),Engine Oil Temperature(°F),Engine RPM(rpm),Fuel pressure(psi),GPS Latitude(°),GPS Longitude(°),Kilometers Per Litre(Instant)(kpl),Mass Air Flow Rate(g/s),NOx Post SCR(ppm),Speed (OBD)(mph)
-,08-May-2017 09:05:21.696,-,-,-,-,-,-,0.1388637,3.55957937,8.03374386,-0.00683385,31.76470566,-0.09641232,0.02458877,0.35516432,0.73016071,14.55823898,1005.30297852,-,145.3999939,-,946,-,-,-,-,4.07000017,-,0
-,08-May-2017 09:05:22.696,-,-,-,-,-,-,0.13826515,3.66731834,8.42160416,-0.00058524,31.76470566,-0.08435769,0.03062919,0.3462562,0.74675661,14.55823898,1005.37744141,-,145.3999939,-,946,-,-,-,-,4.80999994,-,0
-,08-May-2017 09:05:23.696,-,-,-,-,-,-,0.14305355,3.63020825,7.72189903,-0.00628487,31.76470566,-0.07847115,0.01287402,0.36809933,0.74437708,14.55823898,1005.27001953,-,145.3999939,-,906,-,-,-,-,4.80999994,-,0
-,08-May-2017 09:05:24.696,-,-,-,-,-,-,0.10534488,3.4626143,8.10736561,0.00180173,31.76470566,-0.0719286,0.01305706,0.35803199,0.75578678,14.55195999,1005.40380859,-,145.3999939,-,906,-,-,-,-,4.80999994,-,0
