GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), Absolute Throttle Position B(%),Acceleration Sensor(Total)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Air Fuel Ratio(Measured)(:1),Barometer (on Android device)(mb),CO₂ in g/km (Instantaneous)(g/km),Engine Coolant Temperature(°F),Engine Oil Temperature(°F),Engine RPM(rpm),Fuel pressure(psi),GPS Latitude(°),GPS Longitude(°),Kilometers Per Litre(Instant)(kpl),Mass Air Flow Rate(g/s),NOx Post SCR(ppm),Speed (OBD)(mph)
Wed May 10 07:59:18 EDT 2017,10-May-2017 08:00:49.532,-71.17703233,42.30282307,0.0,3.0,29.0,0.0,2.97778845,-0.34476504,8.45931339,-0.06558824,-,-0.07454926,0.27694398,-0.07913557,0.77915519,-,1007.14404297,-,-,-,-,-,42.30282211,-71.17703247,-,-,-,-
Wed May 10 07:59:19 EDT 2017,10-May-2017 08:00:50.531,-71.17703234,42.30282308,0.0,3.0,29.0,0.0,2.82815075,-0.47285482,8.29950047,-0.09350455,-,-0.10460015,0.28829262,-0.0482013,0.74602449,-,1007.17285156,-,165.19999695,-,823,-,42.30282211,-71.17703247,-,3.16000009,-,0
Wed May 10 07:59:20 EDT 2017,10-May-2017 08:00:51.532,-71.17703235,42.30282307,0.0,3.0,29.0,0.0,2.7401638,-0.46028528,8.15225697,-0.11064136,-,-0.07132031,0.26998833,-0.04972667,0.786843,-,1007.24633789,-,165.19999695,-,823,-,42.30282211,-71.17703247,-,3.16000009,-,0
Wed May 10 07:59:21 EDT 2017,10-May-2017 08:00:52.531,-71.17703236,42.30282306,0.0,3.0,29.0,0.0,2.9125464,-0.51176059,8.76636982,-0.0680644,30.19607925,-0.07720387,0.29506522,-0.04929956,0.77262664,14.84086323,1007.18017578,-,165.19999695,-,823,-,42.30282211,-71.17703247,-,3.08999991,-,0
Wed May 10 07:59:22 EDT 2017,10-May-2017 08:00:53.531,-71.17703237,42.30282306,0.0,3.0,29.0,0.0,2.8862102,-0.53929394,8.67359447,-0.06673303,30.19607925,-0.06623678,0.29421103,-0.0549739,0.78415841,14.84086323,1007.20776367,-,165.19999695,-,814,-,42.30282211,-71.17703247,-,3.08999991,-,0
Wed May 10 07:59:23 EDT 2017,10-May-2017 08:00:54.532,-71.17703237,42.30282306,0.0,3.0,29.0,0.0,2.83054495,-0.480636,8.49343014,-0.07467771,30.19607925,-0.05968146,0.29555333,-0.05503491,0.79062593,14.79645061,1007.23071289,-,165.19999695,-,814,-,42.30282211,-71.17703247,-,3.16000009,-,0
Wed May 10 07:59:24 EDT 2017,10-May-2017 08:00:55.532,-71.17703239,42.30282303,0.0,3.0,29.0,0.0,2.68808985,-0.59735334,8.16482639,-0.11024266,30.19607925,-0.03379878,0.30043447,-0.05692635,0.8161909,14.79645061,1007.23242188,-,165.19999695,-,825,-,42.30282211,-71.17703247,-,3.16000009,-,0
Wed May 10 07:59:25 EDT 2017,10-May-2017 08:00:56.531,-71.17703238,42.30282304,0.0,3.0,29.0,0.0,2.7533319,-0.50757074,8.23006821,-0.07395544,30.19607925,-0.11353584,0.28066581,-0.05174014,0.7389468,14.87405968,1007.27636719,-,165.19999695,-,825,-,42.30282211,-71.17703247,-,3.16000009,-,0
Wed May 10 07:59:26 EDT 2017,10-May-2017 08:00:57.531,-71.17703237,42.30282304,0.0,3.0,29.0,0.0,2.69766688,-0.54527944,8.18996525,-0.06857832,30.19607925,-0.03710919,0.30214286,-0.05241129,0.81240797,14.80183315,1007.17944336,-,167,-,822,-,42.30282211,-71.17703247,-,3.02999997,-,0
Wed May 10 07:59:27 EDT 2017,10-May-2017 08:00:58.532,-71.17703237,42.30282302,0.0,3.0,29.0,0.0,2.77428126,-0.55605334,8.47008705,-0.07959139,30.19607925,-0.06794777,0.30244794,-0.04496755,0.7801314,14.86912441,1007.13623047,-,167,-,813,-,42.30282211,-71.17703247,-,3.08999991,-,0
